# This file contains information from one execution 		# 2010-12-30 22:27:35 resultFile [INFO] 
# Author: Gonzalo Aguilar Delgado <gaguilar@aguilardelgado.com> 		# 2010-12-30 22:27:35 resultFile [INFO] 
# Iteration	Chats	Succeded	Error	MeanFitness 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0		0	0		0		0 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.010000	99	11		88		0.62 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.020000	198	22		176		0.62 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.030000	297	34		263		0.63 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.040000	396	46		350		0.64 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.050000	495	57		438		0.61 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.060000	594	68		526		0.60 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.070000	693	79		614		0.59 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.080000	792	92		700		0.59 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.090000	891	105		786		0.59 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.100000	990	118		872		0.59 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.110000	1089	133		956		0.60 		# 2010-12-30 22:27:35 resultFile [INFO] 
	0.120000	1188	148		1040		0.60 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.130000	1287	161		1126		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.140000	1386	172		1214		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.150000	1485	184		1301		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.160000	1584	197		1387		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.170000	1683	210		1473		0.60 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.180000	1782	224		1558		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.190000	1881	239		1642		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.200000	1980	255		1725		0.60 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.210000	2079	270		1809		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.220000	2178	286		1892		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.230000	2277	303		1974		0.60 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.240000	2376	321		2055		0.60 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.250000	2475	338		2137		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.260000	2574	355		2219		0.59 		# 2010-12-30 22:27:36 resultFile [INFO] 
	0.270000	2673	373		2300		0.59 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.280000	2772	390		2382		0.59 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.290000	2871	408		2463		0.59 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.300000	2970	427		2543		0.60 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.310000	3069	447		2622		0.61 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.320000	3168	468		2700		0.61 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.330000	3267	490		2777		0.62 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.340000	3366	514		2852		0.63 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.350000	3465	539		2926		0.63 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.360000	3564	564		3000		0.64 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.370000	3663	591		3072		0.64 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.380000	3762	619		3143		0.65 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.390000	3861	647		3214		0.66 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.400000	3960	676		3284		0.66 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.410000	4059	707		3352		0.67 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.420000	4158	737		3421		0.67 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.430000	4257	768		3489		0.68 		# 2010-12-30 22:27:37 resultFile [INFO] 
	0.440000	4356	800		3556		0.69 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.450000	4455	833		3622		0.69 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.460000	4554	867		3687		0.70 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.470000	4653	902		3751		0.70 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.480000	4752	940		3812		0.71 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.490000	4851	979		3872		0.71 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.500000	4950	1019		3931		0.71 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.510000	5049	1058		3991		0.71 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.520000	5148	1098		4050		0.71 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.530000	5247	1141		4106		0.72 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.540000	5346	1183		4163		0.72 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.550000	5445	1226		4219		0.73 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.560000	5544	1273		4271		0.74 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.570000	5643	1318		4325		0.74 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.580000	5742	1364		4378		0.75 		# 2010-12-30 22:27:38 resultFile [INFO] 
	0.590000	5841	1413		4428		0.76 		# 2010-12-30 22:27:38 resultFile [INFO] 
